Title,Level,Organization,Organization_Link,Rating,Rating count,Course type,Skills,Courses,Courses_Link,Instructors,links
Meta Social Media Marketing Professional Certificate | Coursera,Beginner level,Meta,https://www.coursera.org/partners/meta,4.8,"20,159",professional-certificates,"Paid media, Social Media Campaigns, Digital Marketing, Content Creation, Campaign Management, Marketing Materials, Marketing Budgets, Smart Goals, Advertising Campaigns, Brand Management, Advertising, Social Media","Introduction to Social Media Marketing, Social Media Management, Fundamentals of Social Media Advertising, Advertising with Meta, Measure and Optimize Social Media Marketing Campaigns, Meta Social Media Marketing Capstone","https://www.coursera.org/learn/social-media-marketing-introduction?specialization=facebook-social-media-marketing, https://www.coursera.org/learn/social-media-management?specialization=facebook-social-media-marketing, https://www.coursera.org/learn/social-media-advertising-fundamentals?specialization=facebook-social-media-marketing, https://www.coursera.org/learn/advertising-with-facebook?specialization=facebook-social-media-marketing, https://www.coursera.org/learn/measure-and-optimize-social-media-marketing-campaigns?specialization=facebook-social-media-marketing, https://www.coursera.org/learn/facebook-social-media-marketing-capstone?specialization=facebook-social-media-marketing","Anke Audenaert, Daniel Kob, ","https://www.coursera.org/instructor/anke, https://www.coursera.org/instructor/dan-kob, https://www.coursera.org/degrees/bach-information-technology-illinois-tech"
XHTML Front-End Web Design with CSS | Coursera,Beginner level,EDUCBA,https://www.coursera.org/partners/educba,,,specialization,"Cascading Style Sheets (CSS), Color Theory, Web Content Accessibility Guidelines, Web Development Tools, UI Components, HTML and CSS, Usability, Semantic Web, User Interface (UI), Web Development, Web Design, Interactive Design","XHTML - Beginners, XHTML - Tables and Forms, XHTML - Styling with CSS, XHTML - Advanced Styling with CSS, XHTML - Positional CSS for Layout, XHTML Practical - Styling with XHTML and CSS","https://www.coursera.org/learn/xhtml-beginners?specialization=xhtml-front-end-web-design-with-css, https://www.coursera.org/learn/xhtml-tables-and-forms?specialization=xhtml-front-end-web-design-with-css, https://www.coursera.org/learn/xhtml-styling-with-css?specialization=xhtml-front-end-web-design-with-css, https://www.coursera.org/learn/xhtml-advanced-styling-with-css?specialization=xhtml-front-end-web-design-with-css, https://www.coursera.org/learn/xhtml-positional-css-for-layout?specialization=xhtml-front-end-web-design-with-css, https://www.coursera.org/learn/xhtml-practical-styling-with-xhtml-and-css?specialization=xhtml-front-end-web-design-with-css",Instructor: EDUCBA,https://www.coursera.org/instructor/~136048342
ADP AIRS® Entry-Level Recruiter Professional Certificate | Coursera,Beginner level,"Automatic Data Processing, Inc. (ADP)",https://www.coursera.org/partners/adp,4.6,24,professional-certificates,"Process Improvement, Market Research, Key Performance Indicators (KPIs), Coordination, Talent Sourcing, Performance Analysis, Talent Acquisition, Talent Pipelining, Relationship Building, Consultative Approaches, Recruitment, Change Management","Certificate Overview and Introduction to Recruiting, Recruiting Fundamentals, Analyzing Job Needs and Creating Job Postings, Sourcing and Screening Applicants, Coordinating and Conducting Interviews, Evaluating Candidates and Managing the Offer Process, Tracking and Reporting","https://www.coursera.org/learn/airs-certificate-overview-and-intro-to-recruiting?specialization=adp-airs-entry-level-recruiter, https://www.coursera.org/learn/airs-recruiting-fundamentals?specialization=adp-airs-entry-level-recruiter, https://www.coursera.org/learn/airs-analyzing-job-needs-and-creating-job-postings?specialization=adp-airs-entry-level-recruiter, https://www.coursera.org/learn/airs-sourcing-and-screening-applicants?specialization=adp-airs-entry-level-recruiter, https://www.coursera.org/learn/airs-coordinating-and-conducting-interviews?specialization=adp-airs-entry-level-recruiter, https://www.coursera.org/learn/airs-evaluating-candidates-and-managing-the-offer-process?specialization=adp-airs-entry-level-recruiter, https://www.coursera.org/learn/airs-tracking-and-reporting?specialization=adp-airs-entry-level-recruiter",Instructor: A Global Leader in Recruitment Training,https://www.coursera.org/instructor/~120590334
Introduction to Finance and Accounting | Coursera,Beginner level,University of Pennsylvania,https://www.coursera.org/partners/penn,4.4,"2,502",specialization,"Accounting, Equities, Business Valuation, Financial Statement Analysis, Financial Modeling, Cash Flows, Financial Reporting, Balance Sheet, Financial Statements, Bookkeeping, Accrual Accounting, Working Capital","Fundamentals of Finance, Introduction to Corporate Finance, Introduction to Financial Accounting, More Introduction to Financial Accounting","https://www.coursera.org/learn/finance-fundamentals?specialization=finance-accounting, https://www.coursera.org/learn/wharton-finance?specialization=finance-accounting, https://www.coursera.org/learn/wharton-accounting?specialization=finance-accounting, https://www.coursera.org/learn/wharton-financial-accounting?specialization=finance-accounting","Michael R Roberts, Brian J Bushee, Jessica Wachter, , , ","https://www.coursera.org/instructor/michaelroberts, https://www.coursera.org/instructor/~1937011, https://www.coursera.org/instructor/jwachter, https://www.coursera.org/instructor/michaelroberts, https://www.coursera.org/instructor/~1937011, https://www.coursera.org/instructor/jwachter"
Fundraising and Development | Coursera,Beginner level,"University of California, Davis",https://www.coursera.org/partners/ucdavis,4.6,355,specialization,"Email Marketing, Stakeholder Management, Prospecting and Qualification, Campaign Management, Negotiation, Grant Writing, Proposal Writing, Administration, Philanthropy, Fundraising, Relationship Building, Marketing Strategies","Fundraising and Development Foundations, Annual Campaigns: Building a Case for Support, Major and Principal Gifts, Planned Giving","https://www.coursera.org/learn/fundraising-development?specialization=fundraising-development, https://www.coursera.org/learn/annual-campaigns?specialization=fundraising-development, https://www.coursera.org/learn/major-principal-gifts?specialization=fundraising-development, https://www.coursera.org/learn/planned-giving?specialization=fundraising-development","Brian Casey, Michelle Poesy, Jason Wohlman, Angela Joens, , , , ","https://www.coursera.org/instructor/brian-casey, https://www.coursera.org/instructor/michelle-poesy, https://www.coursera.org/instructor/jason-wohlman, https://www.coursera.org/instructor/angela-joens, https://www.coursera.org/instructor/brian-casey, https://www.coursera.org/instructor/michelle-poesy, https://www.coursera.org/instructor/jason-wohlman, https://www.coursera.org/instructor/angela-joens"
DeepLearning.AI Data Analytics Professional Certificate | Coursera,Beginner level,DeepLearning.AI,https://www.coursera.org/partners/deeplearning-ai,4.8,166,professional-certificates,"Tableau Software, Pandas (Python Package), Data Analysis, Data Storytelling, Data Visualization, Statistics, Extract, Transform, Load, Large Language Modeling, LinkedIn, Web Scraping, Data Literacy, Descriptive Statistics","Data Analytics Foundations, Applied Statistics for Data Analytics, Python for Data Analytics, Data I/O and Preprocessing with Python and SQL, Data Storytelling","https://www.coursera.org/learn/data-analytics-foundations?specialization=data-analytics, https://www.coursera.org/learn/applied-statistics-for-data-analytics?specialization=data-analytics, https://www.coursera.org/learn/python-for-data-analytics?specialization=data-analytics, https://www.coursera.org/learn/data-io-and-preprocessing-with-python-and-sql?specialization=data-analytics, https://www.coursera.org/learn/dlai-data-storytelling?specialization=data-analytics",Instructor: Sean Barnes,https://www.coursera.org/instructor/seanbarnes
Entrepreneurship: Launching an Innovative Business | Coursera,Beginner level,"University of Maryland, College Park",https://www.coursera.org/partners/umd,4.7,"1,434",specialization,"Capital Markets, Sales Presentation, Strategic Decision-Making, Business Planning, Sales Strategy, New Product Development, Market Opportunities, Ideation, Innovation, Product Planning, Finance, Product Strategy","Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship, Innovation for Entrepreneurs: From Idea to Marketplace, New Venture Finance: Startup Funding for Entrepreneurs, Entrepreneurship Capstone","https://www.coursera.org/learn/innovative-ideas?specialization=business-entrepreneurship, https://www.coursera.org/learn/innovative-entrepreneur?specialization=business-entrepreneurship, https://www.coursera.org/learn/startup-funding?specialization=business-entrepreneurship, https://www.coursera.org/learn/entrepreneurship-capstone?specialization=business-entrepreneurship","Dr. James V. Green, Michael R. Pratt, Dr. Thomas J. Mierzwa, , , ","https://www.coursera.org/instructor/jvgreen, https://www.coursera.org/instructor/mrpratt, https://www.coursera.org/instructor/tmierzwa, https://www.coursera.org/instructor/jvgreen, https://www.coursera.org/instructor/mrpratt, https://www.coursera.org/instructor/tmierzwa"
Meta Marketing Analytics Professional Certificate | Coursera,Beginner level,Meta,https://www.coursera.org/partners/meta,4.8,"2,627",professional-certificates,"Key Performance Indicators (KPIs), Pandas (Python Package), Data Analysis, Data Storytelling, Data Visualization, Data Collection, Business Metrics, Data Modeling, Bayesian Statistics, Descriptive Statistics, Marketing Strategies, Data Cleansing","Marketing Analytics Foundation, Introduction to Data Analytics, Data Analysis with Spreadsheets and SQL, Python Data Analytics, Statistics Foundations, Data Analytics Methods for Marketing, Marketing Analytics with Meta, Meta Marketing Science Certification Exam","https://www.coursera.org/learn/marketing-analytics-foundation?specialization=facebook-marketing-analytics, https://www.coursera.org/learn/data-analytics-introduction?specialization=facebook-marketing-analytics, https://www.coursera.org/learn/data-analysis-with-spreadsheets-and-sql?specialization=facebook-marketing-analytics, https://www.coursera.org/learn/python-data-analytics?specialization=facebook-marketing-analytics, https://www.coursera.org/learn/statistics-for-marketing?specialization=facebook-marketing-analytics, https://www.coursera.org/learn/data-analytics-methods-for-marketing?specialization=facebook-marketing-analytics, https://www.coursera.org/learn/marketing-analytics-with-facebook?specialization=facebook-marketing-analytics, https://www.coursera.org/learn/meta-marketing-science-certification?specialization=facebook-marketing-analytics","Brandon Larkin, Brandi Robinson, Anke Audenaert, Victor Geislinger, , , , , ","https://www.coursera.org/instructor/~115843034, https://www.coursera.org/instructor/~122446179, https://www.coursera.org/instructor/anke, https://www.coursera.org/instructor/victor, https://www.coursera.org/degrees/bachelor-of-science-psychology-jgu, https://www.coursera.org/instructor/~115843034, https://www.coursera.org/instructor/~122446179, https://www.coursera.org/instructor/anke, https://www.coursera.org/instructor/victor"
Learn English: Beginning Grammar Specialization [3 courses] (UC Davis) | Coursera,Beginner level,"University of California, Irvine",https://www.coursera.org/partners/uci,4.9,"3,860",specialization,"Language Learning, Language Competency, English Language, Grammar, Vocabulary","Word Forms and Simple Present Tense, Questions, Present Progressive and Future Tenses, Simple Past Tense","https://www.coursera.org/learn/word-forms-simple-present-tense?specialization=learn-english-beginning-grammar, https://www.coursera.org/learn/questions-present-progressive-future-tenses?specialization=learn-english-beginning-grammar, https://www.coursera.org/learn/simple-past-tense?specialization=learn-english-beginning-grammar","Rachel Fernandez, Karen Vallejo, , ","https://www.coursera.org/instructor/~77499996, https://www.coursera.org/instructor/~84840576, https://www.coursera.org/instructor/~77499996, https://www.coursera.org/instructor/~84840576"
Professional Skills for the Workplace Specialization [4 courses] (UC Davis) | Coursera,Beginner level,"University of California, Davis",https://www.coursera.org/partners/ucdavis,4.7,"1,244",specialization,"Problem Solving, Empathy, Professional Development, Lifelong Learning, Active Listening, Brainstorming, Positivity, Growth Mindedness, Stress Management, Growth Strategies, Relationship Building, Overcoming Obstacles","Emotional and Social Intelligence, Critical Thinking Skills for the Professional, The Growth Mindset, Adaptability and Resiliency","https://www.coursera.org/learn/emotional-and-social-intelligence?specialization=professional-skills-for-the-workplace, https://www.coursera.org/learn/critical-thinking-skills-for-professionals?specialization=professional-skills-for-the-workplace, https://www.coursera.org/learn/growth-mindset?specialization=professional-skills-for-the-workplace, https://www.coursera.org/learn/adaptability-and-resiliency?specialization=professional-skills-for-the-workplace","Lisa Montanaro, Diane Davidson, Laurie Cozart, , , ","https://www.coursera.org/instructor/lmontanaro, https://www.coursera.org/instructor/ddavidson, https://www.coursera.org/instructor/lcozart, https://www.coursera.org/instructor/lmontanaro, https://www.coursera.org/instructor/ddavidson, https://www.coursera.org/instructor/lcozart"
"NoSQL, Big Data, and Spark Foundations Specialization [3 courses] (IBM) | Coursera",Beginner level,IBM,https://www.coursera.org/partners/ibm-skills-network,4.4,204,specialization,"Database Management, PySpark, Databases, Data Pipelines, Apache Hadoop, IBM Cloud, Supervised Learning, Apache Hive, Big Data, Scalability, Kubernetes, NoSQL","Introduction to NoSQL Databases, Introduction to Big Data with Spark and Hadoop, Machine Learning with Apache Spark","https://www.coursera.org/learn/introduction-to-nosql-databases?specialization=nosql-big-data-and-spark-foundations, https://www.coursera.org/learn/introduction-to-big-data-with-spark-hadoop?specialization=nosql-big-data-and-spark-foundations, https://www.coursera.org/learn/machine-learning-with-apache-spark?specialization=nosql-big-data-and-spark-foundations","IBM Skills Network Team, Muhammad Yahya, Romeo Kienzler, Rav Ahuja, Steve Ryan, Aije Egwaikhide, Ramesh Sannareddy, , , , , , , ","https://www.coursera.org/instructor/ibm-skills-network, https://www.coursera.org/instructor/~116916949, https://www.coursera.org/instructor/romeo-kienzler, https://www.coursera.org/instructor/ravahuja, https://www.coursera.org/instructor/stever, https://www.coursera.org/instructor/aije-egwaikhide, https://www.coursera.org/instructor/~75088416, https://www.coursera.org/instructor/ibm-skills-network, https://www.coursera.org/instructor/~116916949, https://www.coursera.org/instructor/romeo-kienzler, https://www.coursera.org/instructor/ravahuja, https://www.coursera.org/instructor/stever, https://www.coursera.org/instructor/aije-egwaikhide, https://www.coursera.org/instructor/~75088416"
XML Foundations and Styling for Modern Web Developers | Coursera,Beginner level,EDUCBA,https://www.coursera.org/partners/educba,,,specialization,"Javascript, Maintainability, Data Sharing, Web Content Accessibility Guidelines, Information Architecture, Data Mapping, Data Validation, Data Integrity, Software Documentation, Cascading Style Sheets (CSS), Extensible Markup Language (XML), Hypertext Markup Language (HTML)","XML - Beginner Level, XML Practical - Style Sheets with CSS and XSL, XML Practical - Document Object Model, XML Practical - Schemas, XML DTD Training, XML Practical - XSLT Files and Execution","https://www.coursera.org/learn/xml-beginner-level?specialization=xml-foundations-styling-modern-web-developers, https://www.coursera.org/learn/xml-practical-style-sheets-with-css-and-xsl?specialization=xml-foundations-styling-modern-web-developers, https://www.coursera.org/learn/xml-practical-document-object-model?specialization=xml-foundations-styling-modern-web-developers, https://www.coursera.org/learn/xml-practical-schemas?specialization=xml-foundations-styling-modern-web-developers, https://www.coursera.org/learn/xml-dtd-training?specialization=xml-foundations-styling-modern-web-developers, https://www.coursera.org/learn/xml-practical-xslt-files-and-execution?specialization=xml-foundations-styling-modern-web-developers",Instructor: EDUCBA,https://www.coursera.org/instructor/~136048342
IBM Data Analytics with Excel and R Professional Certificate | Coursera,Beginner level,IBM,https://www.coursera.org/partners/ibm-skills-network,4.7,"2,785",professional-certificates,"Excel Formulas, Shiny (R Package), Data Analysis, Data Storytelling, Exploratory Data Analysis, Ggplot2, Data Visualization, Database Design, Interactive Data Visualization, Big Data, Relational Databases, Web Scraping","Introduction to Data Analytics, Excel Basics for Data Analysis, Data Visualization and Dashboards with Excel and Cognos, Assessment for Data Analysis and Visualization Foundations, Introduction to R Programming for Data Science, SQL for Data Science with R, Data Analysis with R, Data Visualization with R, Data Science with R - Capstone Project","https://www.coursera.org/learn/introduction-to-data-analytics?specialization=ibm-data-analyst-r-excel, https://www.coursera.org/learn/excel-basics-data-analysis-ibm?specialization=ibm-data-analyst-r-excel, https://www.coursera.org/learn/data-visualization-dashboards-excel-cognos?specialization=ibm-data-analyst-r-excel, https://www.coursera.org/learn/data-analysis-visualization-foundations-assessment?specialization=ibm-data-analyst-r-excel, https://www.coursera.org/learn/introducton-r-programming-data-science?specialization=ibm-data-analyst-r-excel, https://www.coursera.org/learn/sql-data-science-r?specialization=ibm-data-analyst-r-excel, https://www.coursera.org/learn/data-analysis-with-r?specialization=ibm-data-analyst-r-excel, https://www.coursera.org/learn/data-visualization-r?specialization=ibm-data-analyst-r-excel, https://www.coursera.org/learn/data-science-with-r-capstone-project?specialization=ibm-data-analyst-r-excel","IBM Skills Network Team, Rav Ahuja, Saishruthi Swaminathan, Sandip Saha Joy, Steve Ryan, Yan Luo, Kevin McFaul, Yiwen Li, Gabriela de Queiroz, Jeff Grossman, Tiffany Zhu, , , , , , , , , , , , ","https://www.coursera.org/instructor/ibm-skills-network, https://www.coursera.org/instructor/ravahuja, https://www.coursera.org/instructor/saishruthi-tn, https://www.coursera.org/instructor/sandipsahajoy, https://www.coursera.org/instructor/stever, https://www.coursera.org/instructor/yanluo, https://www.coursera.org/instructor/~74013819, https://www.coursera.org/instructor/yiwenli, https://www.coursera.org/instructor/gabrieladequeiroz, https://www.coursera.org/instructor/jeffgrossman, https://www.coursera.org/instructor/tiffanyzhu, https://www.coursera.org/degrees/bach-information-technology-illinois-tech, https://www.coursera.org/instructor/ibm-skills-network, https://www.coursera.org/instructor/ravahuja, https://www.coursera.org/instructor/saishruthi-tn, https://www.coursera.org/instructor/sandipsahajoy, https://www.coursera.org/instructor/stever, https://www.coursera.org/instructor/yanluo, https://www.coursera.org/instructor/~74013819, https://www.coursera.org/instructor/yiwenli, https://www.coursera.org/instructor/gabrieladequeiroz, https://www.coursera.org/instructor/jeffgrossman, https://www.coursera.org/instructor/tiffanyzhu"
